X,Y,Value
4198035.0,4386235.0,0.0
4198065.0,4386235.0,0.0
4198095.0,4386235.0,0.0
4198125.0,4386235.0,0.0
4198155.0,4386235.0,0.0
4198185.0,4386235.0,0.0
4198215.0,4386235.0,0.0
4198245.0,4386235.0,0.0
4198275.0,4386235.0,0.0
4198305.0,4386235.0,0.0
4198335.0,4386235.0,0.0
4198365.0,4386235.0,0.0
4198395.0,4386235.0,0.0
4198425.0,4386235.0,0.0
4198455.0,4386235.0,0.0
4198485.0,4386235.0,0.0
4198515.0,4386235.0,0.0
4198545.0,4386235.0,0.0
4198575.0,4386235.0,0.0
4198605.0,4386235.0,0.0
4198635.0,4386235.0,0.0
4198665.0,4386235.0,0.0
4198695.0,4386235.0,0.0
4198725.0,4386235.0,0.0
4198755.0,4386235.0,0.0
4198785.0,4386235.0,0.0
4198815.0,4386235.0,0.0
4198845.0,4386235.0,0.0
4198875.0,4386235.0,0.0
4198905.0,4386235.0,0.0
4198935.0,4386235.0,0.0
4198965.0,4386235.0,0.0
4198995.0,4386235.0,0.0
4199025.0,4386235.0,0.0
4199055.0,4386235.0,0.0
4199085.0,4386235.0,0.0
4199115.0,4386235.0,0.0
4199145.0,4386235.0,0.0
4199175.0,4386235.0,0.0
4199205.0,4386235.0,0.0
4199235.0,4386235.0,0.0
4199265.0,4386235.0,0.0
4199295.0,4386235.0,0.0
4199325.0,4386235.0,0.0
4199355.0,4386235.0,0.0
4199385.0,4386235.0,0.0
4199415.0,4386235.0,0.0
4199445.0,4386235.0,0.0
4199475.0,4386235.0,0.0
4199505.0,4386235.0,0.0
4199535.0,4386235.0,0.0
4199565.0,4386235.0,0.0
4199595.0,4386235.0,0.0
4199625.0,4386235.0,0.0
4199655.0,4386235.0,0.0
4199685.0,4386235.0,0.0
4199715.0,4386235.0,0.0
4199745.0,4386235.0,0.0
4199775.0,4386235.0,0.0
4199805.0,4386235.0,0.0
4199835.0,4386235.0,0.0
4199865.0,4386235.0,0.0
4199895.0,4386235.0,0.0
4199925.0,4386235.0,0.0
4199955.0,4386235.0,0.0
4199985.0,4386235.0,0.0
4200015.0,4386235.0,0.0
4200045.0,4386235.0,0.0
4200075.0,4386235.0,0.0
4200105.0,4386235.0,0.0
4200135.0,4386235.0,0.0
4200165.0,4386235.0,0.0
4200195.0,4386235.0,0.0
4200225.0,4386235.0,0.0
4200255.0,4386235.0,0.0
4200285.0,4386235.0,0.0
4200315.0,4386235.0,0.0
4200345.0,4386235.0,0.0
4200375.0,4386235.0,0.0
4200405.0,4386235.0,0.0
4200435.0,4386235.0,0.0
4200465.0,4386235.0,0.0
4200495.0,4386235.0,0.0
4200525.0,4386235.0,-0.1
4200555.0,4386235.0,-0.2
4200585.0,4386235.0,-0.3
4200615.0,4386235.0,-0.3
4200645.0,4386235.0,-0.2
4200675.0,4386235.0,0.0
4200705.0,4386235.0,0.1
4200735.0,4386235.0,0.3
4200765.0,4386235.0,0.5
4200795.0,4386235.0,0.8
4200825.0,4386235.0,1.1
